,Brands,Styles,Prices,Reduced_Prices,Available_in_Multiple_Colors
0,adidas,Nemeziz 19.3 TF,399 ,399 SAR,0
1,adidas,Pro Next 2019,375 ,375 SAR,0
2,Fila,Drifter Haze Slides,155 ,155 SAR,0
3,Robert Wood,Leather Cross Strap Sandals,159 ,159 SAR,0
4,Nike,Air Versitile IV,399 ,399 SAR,0
5,Nike,Md Runner 2,369 ,369 SAR,0
6,Seventy Five,Alex Sneakers,139 ,139 SAR,0
7,Burton,Espadrille Slip Ons,149 ,149 SAR,0
8,adidas,Duramo Slide,89 ,89 SAR,0
9,Skechers,Zubazz,265 ,265 SAR,0
10,adidas,Eezay Flip Flop,99 ,99 SAR,0
11,Skechers,Go Walk Evolution Ultra,265 ,265 SAR,1
12,Jack & Jones,Trent Sneakers,219 ,219 SAR,0
13,Skechers,Go Walk Max,235 ,235 SAR,0
14,Skechers,Harsen,295 ,295 SAR,0
15,Nike,Revolution 4 EU,269 ,269 SAR,0
17,Nike,Renew Arena,399 ,399 SAR,0
18,Nike,SB Check Solar Cnvs,269 ,269 SAR,0
19,Seventy Five,Padded Sneakers,119 ,119 SAR,1
20,Robert Wood,Oxford Boots,149 ,149 SAR,1
21,Puma,Rogue X Knit,360 ,360 SAR,0
23,Seventy Five,Graze Sneakers,119 ,119 SAR,1
24,Seventy Five,Old School Sneakers,79 ,79 SAR,1
25,Jack & Jones,Bane Sneakers,185 ,185 SAR,1
27,adidas,Galaxy 4,275 ,275 SAR,0
28,Aldo,Preilia Sneakers,329 ,329 SAR,0
29,adidas,UltraBoost 19,899 ,899 SAR,0
30,Skechers,Go Walk 4,275 ,275 SAR,0
31,Converse,Chuck Taylor All Star 70s,299 ,299 SAR,0
32,Skechers,Go Run Mojo,285 ,285 SAR,0
33,Calvin Klein,Logo Pool Slides,209 ,209 SAR,1
34,adidas,Predator 19.4 TF,275 ,275 SAR,0
35,Aldo,Taliven Thongs,179 ,179 SAR,1
36,Nike,Ebernon Low,369 ,369 SAR,1
37,Jack & Jones,Barton Sneakers,185 ,185 SAR,0
38,Guess,Elfino 2 Slides,145 ,145 SAR,1
39,adidas Originals,Deerupt Runner,499 ,499 SAR,1
41,adidas,Adilette Comfort Slides,189 ,189 SAR,0
43,Skechers,Bounder,245 ,245 SAR,1
44,Robert Wood,Classic Oxford Lace Ups,139 ,139 SAR,1
45,Skechers,Equalizer 3.0,245 ,245 SAR,0
46,Robert Wood,Faux Suede Moccasins,139 ,139 SAR,1
47,Brave Soul,On Tour Slides,49 ,49 SAR,0
48,adidas,Duramo 9,300 ,300 SAR,0
49,Seventy Five,Chunky Sneakers,139 ,139 SAR,1
50,Puma,Interflex Runner,225 ,225 SAR,1
51,Puma,Popcat Slides,120 ,120 SAR,0
52,Robert Wood,Wing Cap Brogue Casual Lace Ups,119 ,119 SAR,0
53,Aldo,Fildes Slip Ons,469 ,469 SAR,1
54,Topman,Casual Lace Ups,149 ,149 SAR,1
55,Call It Spring,Delabo Slip Ons,209 ,209 SAR,1
56,Aldo,Tassel loafer,519 ,519 SAR,1
57,Nike,Benassi JDI Slides,149 ,149 SAR,0
58,Diesel,Briian Flip Flops,225 ,225 SAR,1
60,Nike,Benassi Solarsoft,169 ,169 SAR,0
61,Skechers,Matera,265 ,265 SAR,0
62,adidas,CF Adilette Slides,115 ,115 SAR,0
63,adidas,Predator 19.3 TF,399 ,399 SAR,0
65,Seventy Five,Oxford Sneakers,79 ,79 SAR,1
67,Skechers,Mule Slip Ons,215 ,215 SAR,1
68,adidas,Asweerun,249 ,249 SAR,0
69,Nike,Todos,299 ,299 SAR,0
70,Skechers,Terraza,235 ,235 SAR,1
71,Call It Spring,Jickson Flip Flops,129 ,129 SAR,1
72,Seventy Five,Perforated Detail Sneakers,119 ,119 SAR,0
73,Robert Wood,Casual Evening Sneakers,119 ,119 SAR,1
74,Asics,GEL-Kayano 5 360,765 ,765 SAR,0
75,Nike,Benassi JDI Print,149 ,149 SAR,0
76,Seventy Five,Elastic Casual Slip Ons,109 ,109 SAR,1
77,Puma,Leadcat Suede Slides,180 ,180 SAR,0
78,Puma,Puma Smash V2 L,255 ,255 SAR,0
79,Seventy Five,Pull On Knitted Sneakers,119 ,119 SAR,1
80,Seventy Five,Pull On Sneakers,119 ,119 SAR,1
81,Skechers,Reggae,275 ,275 SAR,0
83,Nike,Air Max Alpha Savage,499 ,499 SAR,0
84,Seventy Five,Webbing Detail Sneakers,119 ,119 SAR,0
85,Robert Wood,Weaved Faux Leather Classic Slip Ons,119 ,119 SAR,0
86,Jack & Jones,Espadrille Slip Ons,95 ,95 SAR,0
87,Skechers,Parton,265 ,265 SAR,0
90,Skechers,Flex Advantage 3.0,245 ,245 SAR,0
91,Skechers,Haniger,225 ,225 SAR,0
92,Jack & Jones,Croxton Double Strap Sandals,149 ,149 SAR,1
93,Puma,Rebound LayUp Lo SL,270 ,270 SAR,0
94,Skechers,Padded Slide Sandal,115 ,115 SAR,0
95,Steve Madden,Dwian Sandals,449 ,449 SAR,0
192,Skechers,Equalizer 3.0,265 ,265 SAR,0
194,Puma,RB Playoff L,315 ,315 SAR,0
195,adidas Originals,Continental 80 Strap,475 ,475 SAR,0
196,Converse,Courtlandt,199 ,199 SAR,1
197,Skechers,Gambix,115 ,115 SAR,0
198,Seventy Five,Snake Print Knitted Sneakers,139 ,139 SAR,1
200,Topman,Boston Penny Loafers,245 ,245 SAR,1
201,Skechers,Elite Flex,285 ,285 SAR,0
202,Skechers,Equalizer 2.0,290 ,290 SAR,0
203,adidas,Adilette Shower Slides,115 ,115 SAR,0
205,Molton Brown,Ylang-Ylang Reeds Diffuser,325 ,325 SAR,1
206,Vans,Old Skool,289 ,289 SAR,0
207,adidas,Alphabounce Slide,209 ,209 SAR,0
208,adidas,Adilette CF+ Mono Slides,189 ,189 SAR,0
209,Robert Wood,Classic Leather Lace Ups,259 ,259 SAR,1
210,Skechers,Element Ultra,295 ,295 SAR,0
212,Tommy Hilfiger,Logo Pool Slides,210 ,210 SAR,0
213,adidas,Own The Game,299 ,299 SAR,0
214,Skechers,Crossbay Slides,105 ,105 SAR,0
215,Skechers,Matera,245 ,245 SAR,1
217,Tommy Hilfiger,Reflective Logo Patch Pool Slides,210 ,210 SAR,0
218,Seventy Five,Webbing Detail Slides,49 ,49 SAR,1
219,Nike,Downshifter 9,329 ,329 SAR,0
221,Reebok,Lite,255 ,255 SAR,0
222,Nike,Mamba Focus,549 ,549 SAR,0
223,Jack & Jones,Thai Sneakers,185 ,185 SAR,1
224,Skechers,Vibe Ultra,295 ,295 SAR,0
225,Skechers,Superior,245 ,245 SAR,0
226,Brave Soul,Dawson Cross Strap Sandals,69 ,69 SAR,0
227,adidas,Duramo 9,300 ,300 SAR,1
228,Nike,Kyrie 5 Bandulu,649 ,649 SAR,0
231,Nike,Legend 8 Club FG,279 ,279 SAR,0
232,Robert Wood,Faux Suede and Leather Chelsea Boots,159 ,159 SAR,1
235,Aldo,Gerawen Lace Ups,569 ,569 SAR,1
237,Skechers,Matera,265 ,265 SAR,1
238,Nike,SB Charge SLR PRM,269 ,269 SAR,1
239,Nike,Court Lite 2,349 ,349 SAR,0
240,adidas Originals,Coast Star,375 ,375 SAR,0
241,Tommy Hilfiger,Harlow 1D Sneakers,289 ,289 SAR,0
243,Tommy Hilfiger,Corporate Leather Sneakers,449 ,449 SAR,0
244,Robert Wood,Classic Moccaisns,119 ,119 SAR,1
245,Seventy Five,Knitted Sneakers,139 ,139 SAR,1
246,Jack & Jones,Vision Classic Mixed Sneakers,165 ,165 SAR,0
248,Puma,Wired,245 ,245 SAR,0
249,Nike,Flex Control TR3,399 ,399 SAR,0
250,Nike,Court Royale,299 ,299 SAR,0
252,Nike,Mercurial Vapor Club 12 FG,279 ,279 SAR,0
253,Reebok,Lite,255 ,255 SAR,1
254,Seventy Five,Chunky Dad Sneakers,159 ,159 SAR,0
256,Reebok,Astroride Essential,255 ,255 SAR,0
258,Reebok,Quick Motion,225 ,225 SAR,0
259,Robert Wood,Chukka Boots,139 ,139 SAR,1
260,Skechers,D'Lites 3.0,375 ,375 SAR,0
261,Robert Wood,Classic Saddle Detail Moccasins,119 ,119 SAR,1
262,Nike,Flex Contact 3,399 ,399 SAR,0
264,Fila,Ray,475 ,475 SAR,0
265,Robert Wood,Casual Lace Ups,139 ,139 SAR,1
266,Asics,Upcourt 3,235 ,235 SAR,0
267,Skechers,Haniger- Casspi,225 ,225 SAR,0
268,Havaianas,Classic Flip Flops,110 ,110 SAR,0
269,Nike,Vapor 13 Club TF,279 ,279 SAR,0
271,Tommy Hilfiger,Logo Flag Detail  Sneakers,465 ,465 SAR,0
273,Nike,The Premier II Sala,469 ,469 SAR,0
275,Tommy Hilfiger,Corporate Flag Runners,420 ,420 SAR,0
276,Tommy Hilfiger,Essential Vulcanized Sneakers,465 ,465 SAR,0
277,Robert Wood,Braided Saddle Formal Slip Ons,129 ,129 SAR,0
281,Diesel,Valla Logo Slides,225 ,225 SAR,1
283,Nike,Air Monarch IV,299 ,299 SAR,0
285,Tommy Hilfiger,Chunky Material Mix Sneakers,589 ,589 SAR,0
286,Nike,Free RN Flyknit 3.0,649 ,649 SAR,0
287,Tommy Hilfiger,Signature Casual Lace Ups,629 ,629 SAR,0
288,Tommy Hilfiger,Casual Boots,715 ,715 SAR,0
289,Skechers,Go Walk Premium,365 ,365 SAR,1
290,adidas Originals,Adilette Slides,165 ,165 SAR,0
291,Tommy Hilfiger,Seasonal Driver Lofers,629 ,629 SAR,1
293,Robert Wood,Classic Moccasins,139 ,139 SAR,1
294,Robert Wood,Faux Suede Moccasins,119 ,119 SAR,0
295,Robert Wood,Faux Leather Casual Lace Ups,119 ,119 SAR,0
296,Robert Wood,Brogue Formal Slip Ons,119 ,119 SAR,1
297,Under Armour,HOVR Phantom SE,699 ,699 SAR,1
298,Fila,Vault CMR Jogger CB Low,475 ,475 SAR,0
299,adidas Originals,Continental 80,475 ,475 SAR,0
301,Under Armour,Charged Rogue Twist Ice,399 ,399 SAR,0
303,Skechers,Go Walk Revolution Ultra,335 ,335 SAR,1
304,Timberland,Boot Sauce: Cleaner,35 ,35 SAR,0
305,Polo Ralph Lauren,Rodwel Slides,239 ,239 SAR,1
306,Aldo,Miraonna Slip ons,339 ,339 SAR,0
307,Comfort Plus,Double Strap Sandals,190 ,190 SAR,0
308,Lacoste,Marice Slip Ons,309 ,309 SAR,1
309,Ecco,Collin 2.0 Slip ons,699 ,699 SAR,0
312,Jack & Jones,Nova Cross Strap Sandals,109 ,109 SAR,0
314,adidas Originals,Ozweego,475 ,475 SAR,0
317,adidas,Edge Flex,375 ,375 SAR,1
318,Seventy Five,Knitted Sneakers,149 ,149 SAR,0
319,Puma,NRGY Star Slip-On,320 ,320 SAR,0
320,Seventy Five,Laced Slip Ons,129 ,129 SAR,1
322,adidas,Adilette Comfort,189 ,189 SAR,1
323,adidas,Nemeziz 19.4 TF,275 ,275 SAR,0
325,Jack & Jones,Jamie Sneakers,185 ,185 SAR,0
326,Seventy Five,Pop Sneakers,139 ,139 SAR,0
328,adidas,Ultraboost 19,899 ,899 SAR,0
329,Robert Wood,Light Weight Perforated Slip Ons,119 ,119 SAR,1
330,adidas,X 19.4 FG,249 ,249 SAR,0
331,Nike,Jordan Break Slides,229 ,229 SAR,0
332,adidas,Sensebounce+,475 ,475 SAR,1
335,Nike,Legend Trainer,329 ,329 SAR,0
336,adidas,Asweerun,250 ,250 SAR,0
339,adidas,Sensebounce+,475 ,475 SAR,0
340,Nike,Air Max Graviton,529 ,529 SAR,0
342,Nike,Air Heights,429 ,429 SAR,0
343,Vans,Comfycush Old Skool,309 ,309 SAR,0
345,Nike,Jordan 2X3,599 ,599 SAR,0
346,Converse,Chuck Taylor All Star,269 ,269 SAR,1
347,Puma,Rogue X Metallic,360 ,360 SAR,0
348,Puma,LQDCELL Tension,450 ,450 SAR,0
349,adidas Originals,EQT Gazelle,499 ,499 SAR,0
350,adidas,Copa 19.4 TF,239 ,239 SAR,0
351,adidas,Nemeziz 19.3 Ll TF,475 ,475 SAR,0
354,Robert Wood,Cross Strap Sandals,69 ,69 SAR,1
355,Skechers,Harper,260 ,260 SAR,1
356,Puma,Purecat Slides,80 ,80 SAR,1
357,Skechers,Bounder,225 ,225 SAR,1
358,Skechers,Go Run Mojo,265 ,265 SAR,0
359,Puma,SF Ferrari Drift Cat 5 Ultra II,450 ,450 SAR,0
360,Reebok,Royal Classics Jogger 2,270 ,270 SAR,0
361,Skechers,Go Walk 5,265 ,265 SAR,0
362,Skechers,Men Sports,130 ,130 SAR,0
364,Call It Spring,Jickson Flip Flops,129 ,129 SAR,0
366,Tommy Hilfiger,City Color Block Sneakers,369 ,369 SAR,0
367,Nike,Delfine,429 ,429 SAR,0
369,Aldo,Araysen Slides,179 ,179 SAR,0
370,Tommy Hilfiger,Flag Mesh Sneakers,535 ,535 SAR,0
371,Skechers,Depth Charge - Up To Snuff,290 ,290 SAR,0
376,Skechers,Terrabite- Turbary,330 ,330 SAR,0
378,Converse,Chuck Taylor All Star,279 ,279 SAR,0
379,Skechers,Summits,230 ,230 SAR,1
380,Puma,Hybrid NX,420 ,420 SAR,0
381,Skechers,Flex Advantage 3.0,250 ,250 SAR,0
383,adidas,Runfalcon,249 ,249 SAR,0
384,Nike,Free TR Ultra,529 ,529 SAR,0
385,adidas,Alphabounce Instinct,499 ,499 SAR,0
